Time,X-ray (ID 01) / Impulse Imp,X-ray (ID 01) / Voltage U,X-ray (ID 01) / Current I,X-ray (ID 01) / Detector angle ? _d,X-ray (ID 01) / Crystal angle ? _c
t/s,Imp/# / s,U/kV,I/mA,? _d/°,? _c/°
0,4429,30,1,8,4
2,4430,30,1,8.2,4.1
4,3912,30,1,8.4,4.2
6,3205,30,1,8.6,4.3
8,2607,30,1,8.8,4.4
10,2184,30,1,9,4.5
12,1768,30,1,9.2,4.6
14,1568,30,1,9.4,4.7
16,1381,30,1,9.6,4.8
18,1184,30,1,9.8,4.9
20,1035,30,1,10,5
22,893,30,1,10.2,5.1
24,730,30,1,10.4,5.2
26,574,30,1,10.6,5.3
28,503,30,1,10.8,5.4
30,465,30,1,11,5.5
32,407,30,1,11.2,5.6
34,407,30,1,11.4,5.7
36,423,30,1,11.6,5.8
38,447,30,1,11.8,5.9
40,526,30,1,12,6
42,581,30,1,12.2,6.1
44,655,30,1,12.4,6.2
46,680,30,1,12.6,6.3
48,716,30,1,12.8,6.4
50,819,30,1,13,6.5
52,832,30,1,13.2,6.6
54,848,30,1,13.4,6.7
56,925,30,1,13.6,6.8
58,945,30,1,13.8,6.9
60,933,30,1,14,7
62,969,30,1,14.2,7.1
64,1016,30,1,14.4,7.2
66,1053,30,1,14.6,7.3
68,1092,30,1,14.8,7.4
70,1155,30,1,15,7.5
72,1103,30,1,15.2,7.6
74,1139,30,1,15.4,7.7
76,1169,30,1,15.6,7.8
78,1178,30,1,15.8,7.9
80,1195,30,1,16,8
82,1193,30,1,16.2,8.1
84,1227,30,1,16.4,8.2
86,1236,30,1,16.6,8.3
88,1311,30,1,16.8,8.4
90,1274,30,1,17,8.5
92,1312,30,1,17.2,8.6
94,1314,30,1,17.4,8.7
96,1345,30,1,17.6,8.8
98,1374,30,1,17.8,8.9
100,1329,30,1,18,9
102,1381,30,1,18.2,9.1
104,1401,30,1,18.4,9.2
106,1382,30,1,18.6,9.3
108,1429,30,1,18.8,9.4
110,1440,30,1,19,9.5
112,1408,30,1,19.2,9.6
114,1446,30,1,19.4,9.7
116,1463,30,1,19.6,9.8
118,1457,30,1,19.8,9.9
120,1519,30,1,20,10
122,1505,30,1,20.2,10.1
124,1534,30,1,20.4,10.2
126,1537,30,1,20.6,10.3
128,1520,30,1,20.8,10.4
130,1554,30,1,21,10.5
132,1568,30,1,21.2,10.6
134,1549,30,1,21.4,10.7
136,1564,30,1,21.6,10.8
138,1554,30,1,21.8,10.9
140,1552,30,1,22,11
142,1566,30,1,22.2,11.1
144,1558,30,1,22.4,11.2
146,1455,30,1,22.6,11.3
148,1543,30,1,22.8,11.4
150,1493,30,1,23,11.5
152,1470,30,1,23.2,11.6
154,1418,30,1,23.4,11.7
156,1404,30,1,23.6,11.8
158,1450,30,1,23.8,11.9
160,1435,30,1,24,12
162,1444,30,1,24.2,12.1
164,1409,30,1,24.4,12.2
166,1431,30,1,24.6,12.3
168,1418,30,1,24.8,12.4
170,1429,30,1,25,12.5
172,1464,30,1,25.2,12.6
174,1460,30,1,25.4,12.7
176,1453,30,1,25.6,12.8
178,1473,30,1,25.8,12.9
180,1429,30,1,26,13
182,1428,30,1,26.2,13.1
184,1365,30,1,26.4,13.2
186,1207,30,1,26.6,13.3
188,1225,30,1,26.8,13.4
190,1229,30,1,27,13.5
192,1174,30,1,27.2,13.6
194,1113,30,1,27.4,13.7
196,1061,30,1,27.6,13.8
198,1048,30,1,27.8,13.9
200,1034,30,1,28,14
202,1010,30,1,28.2,14.1
204,1025,30,1,28.4,14.2
206,1012,30,1,28.6,14.3
208,1011,30,1,28.8,14.4
210,1002,30,1,29,14.5
212,1016,30,1,29.2,14.6
214,976,30,1,29.4,14.7
216,984,30,1,29.6,14.8
218,989,30,1,29.8,14.9
220,999,30,1,30,15
222,1003,30,1,30.2,15.1
224,992,30,1,30.4,15.2
226,964,30,1,30.6,15.3
