Time,X-ray (ID 01) / Impulse Imp,X-ray (ID 01) / Voltage U,X-ray (ID 01) / Current I,X-ray (ID 01) / Detector angle ? _d,X-ray (ID 01) / Crystal angle ? _c
t/s,Imp/# / s,U/kV,I/mA,? _d/°,? _c/°
,,,,,
0,15,25,1,8,4
1,12,25,1,8.2,4.1
2,10,25,1,8.4,4.2
3,18,25,1,8.6,4.3
4,13,25,1,8.8,4.4
5,13,25,1,9,4.5
6,12,25,1,9.2,4.6
7,11,25,1,9.4,4.7
8,7,25,1,9.6,4.8
9,21,25,1,9.8,4.9
10,6,25,1,10,5
11,16,25,1,10.2,5.1
12,12,25,1,10.4,5.2
13,7,25,1,10.6,5.3
14,7,25,1,10.8,5.4
15,11,25,1,11,5.5
16,19,25,1,11.2,5.6
17,16,25,1,11.4,5.7
18,11,25,1,11.6,5.8
19,8,25,1,11.8,5.9
20,8,25,1,12,6
21,6,25,1,12.2,6.1
22,12,25,1,12.4,6.2
23,9,25,1,12.6,6.3
24,6,25,1,12.8,6.4
25,4,25,1,13,6.5
26,12,25,1,13.2,6.6
27,13,25,1,13.4,6.7
28,8,25,1,13.6,6.8
29,13,25,1,13.8,6.9
30,12,25,1,14,7
31,20,25,1,14.2,7.1
32,26,25,1,14.4,7.2
33,39,25,1,14.6,7.3
34,59,25,1,14.8,7.4
35,80,25,1,15,7.5
36,82,25,1,15.2,7.6
37,112,25,1,15.4,7.7
38,122,25,1,15.6,7.8
39,156,25,1,15.8,7.9
40,156,25,1,16,8
41,153,25,1,16.2,8.1
42,156,25,1,16.4,8.2
43,194,25,1,16.6,8.3
44,160,25,1,16.8,8.4
45,167,25,1,17,8.5
46,212,25,1,17.2,8.6
47,212,25,1,17.4,8.7
48,216,25,1,17.6,8.8
49,204,25,1,17.8,8.9
50,247,25,1,18,9
51,227,25,1,18.2,9.1
52,268,25,1,18.4,9.2
53,250,25,1,18.6,9.3
54,267,25,1,18.8,9.4
55,288,25,1,19,9.5
56,248,25,1,19.2,9.6
57,242,25,1,19.4,9.7
58,264,25,1,19.6,9.8
59,253,25,1,19.8,9.9
60,290,25,1,20,10
61,296,25,1,20.2,10.1
62,281,25,1,20.4,10.2
63,286,25,1,20.6,10.3
64,289,25,1,20.8,10.4
65,289,25,1,21,10.5
66,290,25,1,21.2,10.6
67,271,25,1,21.4,10.7
68,312,25,1,21.6,10.8
69,249,25,1,21.8,10.9
70,293,25,1,22,11
71,281,25,1,22.2,11.1
72,336,25,1,22.4,11.2
73,287,25,1,22.6,11.3
74,290,25,1,22.8,11.4
75,262,25,1,23,11.5
76,291,25,1,23.2,11.6
77,288,25,1,23.4,11.7
78,297,25,1,23.6,11.8
79,253,25,1,23.8,11.9
80,234,25,1,24,12
81,270,25,1,24.2,12.1
82,245,25,1,24.4,12.2
83,225,25,1,24.6,12.3
84,245,25,1,24.8,12.4
85,212,25,1,25,12.5
86,243,25,1,25.2,12.6
87,217,25,1,25.4,12.7
88,249,25,1,25.6,12.8
89,229,25,1,25.8,12.9
90,247,25,1,26,13
91,202,25,1,26.2,13.1
92,250,25,1,26.4,13.2
93,180,25,1,26.6,13.3
94,190,25,1,26.8,13.4
95,162,25,1,27,13.5
96,156,25,1,27.2,13.6
97,145,25,1,27.4,13.7
98,143,25,1,27.6,13.8
99,125,25,1,27.8,13.9
100,124,25,1,28,14
101,127,25,1,28.2,14.1
102,124,25,1,28.4,14.2
103,116,25,1,28.6,14.3
104,113,25,1,28.8,14.4
105,116,25,1,29,14.5
106,102,25,1,29.2,14.6
107,117,25,1,29.4,14.7
108,92,25,1,29.6,14.8
109,90,25,1,29.8,14.9
110,115,25,1,30,15
111,92,25,1,30.2,15.1
112,94,25,1,30.4,15.2
113,91,25,1,30.6,15.3
114,90,25,1,30.8,15.4
115,87,25,1,31,15.5
116,81,25,1,31.2,15.6
117,85,25,1,31.4,15.7
118,83,25,1,31.6,15.8
119,82,25,1,31.8,15.9
120,67,25,1,32,16
121,83,25,1,32.2,16.1
122,65,25,1,32.4,16.2
123,78,25,1,32.6,16.3
124,65,25,1,32.8,16.4
125,73,25,1,33,16.5
126,77,25,1,33.2,16.6
127,58,25,1,33.4,16.7
128,57,25,1,33.6,16.8
129,66,25,1,33.8,16.9
130,49,25,1,34,17
131,56,25,1,34.2,17.1
132,72,25,1,34.4,17.2
133,73,25,1,34.6,17.3
134,53,25,1,34.8,17.4
135,45,25,1,35,17.5
