Time,X-ray (ID 01) / Impulse Imp,X-ray (ID 01) / Voltage U,X-ray (ID 01) / Current I,X-ray (ID 01) / Detector angle ? _d,X-ray (ID 01) / Crystal angle ? _c
t/s,Imp/# / s,U/kV,I/mA,? _d/°,? _c/°
,,,,,
0,592,25,1,8,4
1,576,25,1,8.2,4.1
2,462,25,1,8.4,4.2
3,370,25,1,8.6,4.3
4,318,25,1,8.8,4.4
5,224,25,1,9,4.5
6,243,25,1,9.2,4.6
7,221,25,1,9.4,4.7
8,187,25,1,9.6,4.8
9,183,25,1,9.8,4.9
10,166,25,1,10,5
11,122,25,1,10.2,5.1
12,84,25,1,10.4,5.2
13,86,25,1,10.6,5.3
14,72,25,1,10.8,5.4
15,81,25,1,11,5.5
16,96,25,1,11.2,5.6
17,92,25,1,11.4,5.7
18,89,25,1,11.6,5.8
19,89,25,1,11.8,5.9
20,96,25,1,12,6
21,82,25,1,12.2,6.1
22,92,25,1,12.4,6.2
23,82,25,1,12.6,6.3
24,102,25,1,12.8,6.4
25,94,25,1,13,6.5
26,99,25,1,13.2,6.6
27,85,25,1,13.4,6.7
28,89,25,1,13.6,6.8
29,92,25,1,13.8,6.9
30,77,25,1,14,7
31,104,25,1,14.2,7.1
32,94,25,1,14.4,7.2
33,103,25,1,14.6,7.3
34,151,25,1,14.8,7.4
35,173,25,1,15,7.5
36,192,25,1,15.2,7.6
37,199,25,1,15.4,7.7
38,219,25,1,15.6,7.8
39,238,25,1,15.8,7.9
40,249,25,1,16,8
41,273,25,1,16.2,8.1
42,257,25,1,16.4,8.2
43,249,25,1,16.6,8.3
44,284,25,1,16.8,8.4
45,272,25,1,17,8.5
46,284,25,1,17.2,8.6
47,272,25,1,17.4,8.7
48,292,25,1,17.6,8.8
49,313,25,1,17.8,8.9
50,337,25,1,18,9
51,314,25,1,18.2,9.1
52,311,25,1,18.4,9.2
53,334,25,1,18.6,9.3
54,299,25,1,18.8,9.4
55,306,25,1,19,9.5
56,299,25,1,19.2,9.6
57,318,25,1,19.4,9.7
58,338,25,1,19.6,9.8
59,295,25,1,19.8,9.9
60,314,25,1,20,10
61,319,25,1,20.2,10.1
62,354,25,1,20.4,10.2
63,302,25,1,20.6,10.3
64,294,25,1,20.8,10.4
65,313,25,1,21,10.5
66,327,25,1,21.2,10.6
67,304,25,1,21.4,10.7
68,331,25,1,21.6,10.8
69,306,25,1,21.8,10.9
70,303,25,1,22,11
71,300,25,1,22.2,11.1
72,294,25,1,22.4,11.2
73,298,25,1,22.6,11.3
74,270,25,1,22.8,11.4
75,258,25,1,23,11.5
76,266,25,1,23.2,11.6
77,231,25,1,23.4,11.7
78,230,25,1,23.6,11.8
79,225,25,1,23.8,11.9
80,201,25,1,24,12
81,198,25,1,24.2,12.1
82,241,25,1,24.4,12.2
83,191,25,1,24.6,12.3
84,194,25,1,24.8,12.4
85,176,25,1,25,12.5
86,187,25,1,25.2,12.6
87,172,25,1,25.4,12.7
88,160,25,1,25.6,12.8
89,167,25,1,25.8,12.9
90,158,25,1,26,13
91,147,25,1,26.2,13.1
92,148,25,1,26.4,13.2
93,133,25,1,26.6,13.3
94,129,25,1,26.8,13.4
95,102,25,1,27,13.5
96,101,25,1,27.2,13.6
97,108,25,1,27.4,13.7
98,93,25,1,27.6,13.8
99,81,25,1,27.8,13.9
100,84,25,1,28,14
101,77,25,1,28.2,14.1
102,71,25,1,28.4,14.2
103,86,25,1,28.6,14.3
104,73,25,1,28.8,14.4
105,65,25,1,29,14.5
106,63,25,1,29.2,14.6
107,69,25,1,29.4,14.7
108,67,25,1,29.6,14.8
109,49,25,1,29.8,14.9
110,56,25,1,30,15
111,72,25,1,30.2,15.1
112,68,25,1,30.4,15.2
113,61,25,1,30.6,15.3
114,53,25,1,30.8,15.4
115,51,25,1,31,15.5
116,38,25,1,31.2,15.6
117,56,25,1,31.4,15.7
118,55,25,1,31.6,15.8
119,45,25,1,31.8,15.9
120,66,25,1,32,16
121,39,25,1,32.2,16.1
122,51,25,1,32.4,16.2
123,57,25,1,32.6,16.3
124,56,25,1,32.8,16.4
125,49,25,1,33,16.5
126,39,25,1,33.2,16.6
127,43,25,1,33.4,16.7
128,42,25,1,33.6,16.8
129,37,25,1,33.8,16.9
130,42,25,1,34,17
131,49,25,1,34.2,17.1
132,38,25,1,34.4,17.2
133,53,25,1,34.6,17.3
134,50,25,1,34.8,17.4
135,32,25,1,35,17.5
